speechname,tone,family,feel,money,insight,number,clout,Parenth,cogproc,OtherP,female,negate,negemo,differ,death,adverb,informal,ipron,analytic,percept,health,Exclam,adj,prep,achieve,relig,bio,risk,sixLtr,leisure,Quote,verb,hear,they,affect,you,work,Period,dic,friend,focusfuture,auxverb,male,shehe,SemiC,function,compare,pronoun,QMark,certain,assent,tentat,sad,affiliation,see,anger,home,conj,sexual,ppron,motion,space,filler,anx,focuspresent,netspeak,quant,discrep,relativ,Colon,nonflu,cause,body,we,wc,power,interrog,social,drives,wps,focuspast,article,AllPunc,authentic,Apostro,i,posemo,ingest,Dash,swear,Comma,time,reward,president,type,year
gwbush-sotu-2004,44.4207,0.0038454144,0.0023072485,0.023649298,0.015189387,0.017881177,89.44877,0.0,0.081907324,0.0009613536,0.0028840608,0.0078831,0.034031916,0.016919823,0.00538358,0.025187464,0.00019227072,0.03249375,84.99516,0.0078831,0.016727552,0.0,0.04864449,0.14074217,0.028648337,0.003460873,0.019996155,0.013843492,0.25360507,0.0032686023,0.0011536243,0.122091904,0.0017304365,0.013074409,0.07960007,0.010382619,0.06652567,0.0538358,0.8600269,0.0024995194,0.015189387,0.07267833,0.004229956,0.0009613536,0.001345895,0.46741012,0.021726592,0.09959623,0.0,0.01615074,0.00019227072,0.015189387,0.004037685,0.054604884,0.0030763315,0.014612574,0.0024995194,0.067487024,0.00038454143,0.06710248,0.020765238,0.070178814,0.0,0.0071140165,0.08902134,0.0,0.022111133,0.0144203035,0.13362814,0.0024995194,0.0,0.015573928,0.0017304365,0.033839647,5201.0,0.06614113,0.0071140165,0.11459335,0.15862334,18.912727,0.019803884,0.07210152,0.13228226,19.870438,0.008267641,0.008844453,0.044222265,0.00057681213,0.0051913094,0.0,0.05902711,0.046337243,0.015573928,gwbush,sotu,2004
gwbush-sotu-2006,66.935005,0.002814259,0.0015009381,0.017636022,0.013133208,0.017260788,89.23909,0.0,0.093621016,0.0020637899,0.0026266417,0.009380863,0.034521576,0.022514071,0.0030018762,0.027016886,0.0009380863,0.035834897,85.04833,0.00956848,0.01163227,0.0,0.050093807,0.14409006,0.035834897,0.0031894934,0.014258912,0.012757974,0.25928706,0.0033771107,0.00037523452,0.11819887,0.0024390244,0.008442776,0.09174484,0.0039399625,0.055347092,0.051782362,0.8624765,0.0031894934,0.020825516,0.0662289,0.0041275797,0.00075046904,0.0013133208,0.47673547,0.023639774,0.10450281,0.00018761726,0.018011257,0.0,0.015947467,0.0067542214,0.06285178,0.0041275797,0.013883677,0.0026266417,0.07016885,0.0022514071,0.06866792,0.021013133,0.080863036,0.0,0.0069418387,0.08142589,0.00018761726,0.01913696,0.017448405,0.14352721,0.002814259,0.00075046904,0.021388367,0.0015009381,0.047654785,5330.0,0.057598498,0.006378987,0.11219512,0.15947467,19.311594,0.016697936,0.07354596,0.1217636,24.63309,0.0067542214,0.007879925,0.056285176,0.00037523452,0.0041275797,0.0,0.052345216,0.04371482,0.017073171,gwbush,sotu,2006
gwbush-sotu-2007,53.733116,0.0016120365,0.0016120365,0.019165324,0.011642486,0.018448863,89.48739,0.0,0.080422714,0.0028658428,0.0042987643,0.009672219,0.029374888,0.018090632,0.0042987643,0.024180548,0.0007164607,0.041375604,87.79403,0.012358947,0.011284255,0.0,0.041196488,0.15547197,0.026509045,0.006269031,0.014687444,0.011821602,0.21977432,0.003224073,0.0017911517,0.11875336,0.0034031882,0.013075408,0.07379545,0.0046569942,0.046390828,0.051764283,0.84005016,0.0026867276,0.0150456745,0.06322765,0.008239298,0.0068063764,0.0010746911,0.49131292,0.020240014,0.11320079,0.0,0.014866559,0.0,0.012000716,0.0035823034,0.0555257,0.0055525703,0.013433638,0.001970267,0.065377034,0.00089557585,0.071825184,0.018627977,0.08060183,0.0,0.0068063764,0.08758732,0.00035823035,0.018090632,0.014866559,0.13738133,0.0023284971,0.00035823035,0.017911518,0.0025076123,0.040300913,5583.0,0.054809242,0.009134874,0.11517105,0.1465162,19.520979,0.022747627,0.078273326,0.12305212,16.861258,0.011642486,0.0069854916,0.044241447,0.00053734554,0.0021493821,0.0,0.049435787,0.04083826,0.018807093,gwbush,sotu,2007
gwbush-sotu-2008,53.733116,0.0016120365,0.0016120365,0.019165324,0.011642486,0.018448863,89.48739,0.0,0.080422714,0.0028658428,0.0042987643,0.009672219,0.029374888,0.018090632,0.0042987643,0.024180548,0.0007164607,0.041375604,87.79403,0.012358947,0.011284255,0.0,0.041196488,0.15547197,0.026509045,0.006269031,0.014687444,0.011821602,0.21977432,0.003224073,0.0017911517,0.11875336,0.0034031882,0.013075408,0.07379545,0.0046569942,0.046390828,0.051764283,0.84005016,0.0026867276,0.0150456745,0.06322765,0.008239298,0.0068063764,0.0010746911,0.49131292,0.020240014,0.11320079,0.0,0.014866559,0.0,0.012000716,0.0035823034,0.0555257,0.0055525703,0.013433638,0.001970267,0.065377034,0.00089557585,0.071825184,0.018627977,0.08060183,0.0,0.0068063764,0.08758732,0.00035823035,0.018090632,0.014866559,0.13738133,0.0023284971,0.00035823035,0.017911518,0.0025076123,0.040300913,5583.0,0.054809242,0.009134874,0.11517105,0.1465162,19.520979,0.022747627,0.078273326,0.12305212,16.861258,0.011642486,0.0069854916,0.044241447,0.00053734554,0.0021493821,0.0,0.049435787,0.04083826,0.018807093,gwbush,sotu,2008
hwbush-sotu-1989,80.87866,0.005804312,0.0037313432,0.019693201,0.014925373,0.014303482,83.30009,0.0,0.10302653,0.0035240464,0.0020729685,0.013266998,0.01907131,0.024875622,0.0020729685,0.030472636,0.0020729685,0.042288557,79.59967,0.014096186,0.008706467,0.00062189053,0.04933665,0.14655887,0.02757048,0.004145937,0.013474295,0.015339967,0.2303068,0.0035240464,0.007048093,0.13909619,0.0045605307,0.0049751243,0.06944445,0.008706467,0.04871476,0.060323384,0.8733416,0.0031094528,0.0263267,0.077943616,0.0062189056,0.0043532336,0.00393864,0.5080846,0.021558871,0.12748756,0.00020729685,0.022180762,0.0008291874,0.016583748,0.002902156,0.058250416,0.0049751243,0.0047678277,0.005597015,0.06301824,0.00062189053,0.085199006,0.018656716,0.069859035,0.0,0.002902156,0.09100331,0.0004145937,0.019693201,0.025704809,0.14324212,0.0043532336,0.0008291874,0.01907131,0.00393864,0.041252073,4824.0,0.047056384,0.010779436,0.11069652,0.1442786,16.57732,0.020522388,0.07649254,0.16645937,30.200708,0.018864013,0.025912106,0.049543947,0.00062189053,0.012437811,0.0,0.05514096,0.059494197,0.012852404,hwbush,sotu,1989
hwbush-sotu-1990,83.4887,0.003959873,0.0010559662,0.016103486,0.015047519,0.019535376,89.73017,0.0,0.09530095,0.0031678986,0.0010559662,0.0068637803,0.011615628,0.013727561,0.0015839493,0.038542766,0.002903907,0.053326294,82.93302,0.010559662,0.008975713,0.0,0.04778247,0.14941922,0.025079198,0.003959873,0.012935586,0.0060718055,0.19218585,0.0034318902,0.0021119325,0.13278775,0.004751848,0.0055438224,0.05596621,0.007127772,0.04567054,0.05411827,0.875396,0.0010559662,0.019535376,0.06995776,0.0060718055,0.004223865,0.004223865,0.5039599,0.019799367,0.12909187,0.0005279831,0.028511088,0.0010559662,0.0126715945,0.0021119325,0.059662092,0.0044878563,0.0018479408,0.006599789,0.058870114,0.00026399156,0.07576557,0.018215418,0.0844773,0.0,0.002375924,0.09899683,0.00026399156,0.029567054,0.016367476,0.1657867,0.0050158394,0.0015839493,0.019799367,0.003959873,0.043294616,3788.0,0.038542766,0.01187962,0.112460405,0.12882788,19.131313,0.027455121,0.082101375,0.18268216,36.657654,0.024023231,0.015575501,0.04408659,0.0,0.026927138,0.0,0.062566,0.06520592,0.013727561,hwbush,sotu,1990
hwbush-sotu-1991,57.241634,0.002522068,0.00554855,0.018663304,0.020933164,0.013366961,88.39346,0.0,0.10466582,0.002774275,0.001261034,0.010592686,0.026986128,0.0221942,0.0035308953,0.0332913,0.0015132409,0.04186633,83.68725,0.014627995,0.0037831021,0.0,0.04489281,0.14325346,0.034300126,0.0035308953,0.008070618,0.008322825,0.23783103,0.002522068,0.0010088272,0.11828499,0.0045397226,0.008827238,0.07137453,0.0037831021,0.046153847,0.058259774,0.86557376,0.002522068,0.019672131,0.073896594,0.0042875158,0.0035308953,0.0047919294,0.5041614,0.020933164,0.11273644,0.0005044136,0.021185372,0.0005044136,0.01664565,0.0032786885,0.06481715,0.0045397226,0.012862547,0.00554855,0.066078186,0.0005044136,0.07087012,0.019924337,0.07263556,0.0,0.004035309,0.08928121,0.0005044136,0.024211854,0.013619168,0.1369483,0.002774275,0.0005044136,0.023455232,0.0032786885,0.04741488,3965.0,0.052711222,0.01185372,0.10844893,0.15359394,17.544249,0.015889028,0.08575031,0.16191678,25.365377,0.013871375,0.0073139975,0.043631777,0.00075662043,0.018411096,0.0,0.059520807,0.047667086,0.013366961,hwbush,sotu,1991
hwbush-sotu-1992,63.932785,0.0035169988,0.00332161,0.02657288,0.017780382,0.017584994,81.13939,0.0,0.1014068,0.005275498,0.0029308323,0.014458773,0.016217273,0.025205158,0.0021492771,0.032434545,0.0019538882,0.06545526,61.06876,0.012114107,0.0050801095,0.0,0.040445488,0.123290345,0.022665104,0.0027354436,0.008987886,0.010355608,0.18796405,0.005275498,0.0031262212,0.15650645,0.0054708873,0.011723329,0.053731926,0.012309496,0.05001954,0.062719814,0.88061744,0.0015631106,0.025400547,0.092223525,0.0031262212,0.0027354436,0.0017584994,0.52911294,0.016217273,0.1555295,0.00039077766,0.019148104,0.00019538883,0.016998827,0.0027354436,0.04826104,0.0029308323,0.0039077764,0.0058616647,0.06584603,0.00019538883,0.08987886,0.023446659,0.07229386,0.0,0.0019538882,0.10785463,0.00039077766,0.017194217,0.018171161,0.15298945,0.0054708873,0.0011723329,0.019538883,0.00332161,0.03282532,5118.0,0.045525596,0.014458773,0.11332552,0.12622118,15.99375,0.02657288,0.07151231,0.16178195,46.902428,0.019538883,0.030285267,0.036342323,0.00058616645,0.0070339977,0.00019538883,0.05646737,0.059202813,0.012114107,hwbush,sotu,1992
obama-sotu-2009,53.84585,0.0029517876,0.0014758938,0.042308953,0.015578878,0.015742866,82.926445,0.0,0.10183667,0.0022958347,0.002459823,0.017218761,0.018858641,0.02984585,0.0009839291,0.04460479,0.0018038701,0.06707117,62.42105,0.0104952445,0.007871433,0.0,0.043128897,0.13315842,0.029681863,0.001639882,0.0096753035,0.012135127,0.2069531,0.0036077402,0.0019678583,0.14644146,0.003279764,0.0096753035,0.05346015,0.007871433,0.065759264,0.0472286,0.8947196,0.0009839291,0.026402099,0.082322076,0.002459823,0.0027877993,0.0018038701,0.53279763,0.021974418,0.1487373,0.0001639882,0.01984257,0.000819941,0.017546736,0.0031157758,0.054936044,0.0047556576,0.0052476223,0.0072154803,0.071170874,0.0,0.08150213,0.020990489,0.068875045,0.0001639882,0.003279764,0.10724828,0.0,0.020990489,0.011151197,0.14709741,0.0018038701,0.000819941,0.022630371,0.0011479174,0.04509675,6098.0,0.045752704,0.014758937,0.10528042,0.14119384,21.247387,0.022302395,0.07018694,0.1346343,39.89358,0.016234832,0.016070843,0.03378157,0.0004919646,0.009839292,0.0,0.053296164,0.060675632,0.012463103,obama,sotu,2009
obama-sotu-2010,52.064384,0.0031641216,0.0031641216,0.034392625,0.017196313,0.020222865,83.36241,0.0,0.10799284,0.00550282,0.0026138397,0.014169762,0.023662128,0.029440088,0.0016508461,0.044572845,0.0017884165,0.06479571,64.175514,0.010042647,0.006878525,0.00041271152,0.053514928,0.13179255,0.028752236,0.0023386986,0.010592929,0.011968634,0.21433485,0.00550282,0.0019259871,0.15352869,0.0037144036,0.012381345,0.06231944,0.0037144036,0.066584125,0.058880176,0.8851286,0.0016508461,0.017058743,0.08323015,0.0020635575,0.0019259871,0.00082542305,0.50969875,0.027789243,0.14472418,0.000550282,0.016921172,0.0012381346,0.020085294,0.004127115,0.057642043,0.0024762691,0.007841519,0.0067409547,0.064245425,0.000550282,0.079928465,0.022974275,0.06795983,0.0,0.004264686,0.1100564,0.0,0.02737653,0.015820608,0.14816344,0.002201128,0.00041271152,0.023799697,0.0024762691,0.044572845,7269.0,0.044847984,0.018434448,0.10964369,0.14513688,17.143867,0.028477095,0.06493328,0.16274591,39.72252,0.028752236,0.017333884,0.03769432,0.00082542305,0.009079654,0.0001375705,0.05461549,0.058880176,0.016646031,obama,sotu,2010
