speech,category,count,total_words,percent
trump-nc-speech,RcRelig,0,3602,0.0
trump-rnc,RcRelig,0,4455,0.0
trump-victory,RcRelig,0,1759,0.0
trump-inaugural,RcTot,10,1459,0.69
trump-rnc,RcTot,20,4455,0.45
trump-nc-speech,RcTot,10,3602,0.28
trump-immigration-speech,RcTot,15,6885,0.22
trump-victory,RcTot,3,1759,0.17
trump-announcesprezrun,RcTot,8,6358,0.13
trump-rnc,Region,5,4455,0.11
trump-immigration-speech,Region,6,6885,0.09
trump-announcesprezrun,Region,5,6358,0.08
trump-nc-speech,Region,3,3602,0.08
trump-inaugural,Region,1,1459,0.07
trump-victory,Region,1,1759,0.06
trump-inaugural,Rel,2,1459,0.14
trump-immigration-speech,Rel,8,6885,0.12
trump-victory,Rel,2,1759,0.11
trump-nc-speech,Rel,3,3602,0.08
trump-rnc,Rel,3,4455,0.07
trump-announcesprezrun,Rel,2,6358,0.03
trump-inaugural,Relig,2,1459,0.14
trump-victory,Relig,1,1759,0.06
trump-immigration-speech,Relig,3,6885,0.04
trump-announcesprezrun,Relig,2,6358,0.03
trump-nc-speech,Relig,1,3602,0.03
trump-rnc,Relig,1,4455,0.02
trump-immigration-speech,Rise,1,6885,0.01
trump-announcesprezrun,Rise,0,6358,0.0
trump-inaugural,Rise,0,1459,0.0
trump-nc-speech,Rise,0,3602,0.0
trump-rnc,Rise,0,4455,0.0
trump-victory,Rise,0,1759,0.0
trump-inaugural,Ritual,2,1459,0.14
trump-rnc,Ritual,3,4455,0.07
trump-announcesprezrun,Ritual,3,6358,0.05
trump-immigration-speech,Ritual,2,6885,0.03
trump-nc-speech,Ritual,1,3602,0.03
trump-victory,Ritual,0,1759,0.0
trump-victory,Role,15,1759,0.85
trump-rnc,Role,28,4455,0.63
trump-inaugural,Role,8,1459,0.55
trump-nc-speech,Role,19,3602,0.53
trump-immigration-speech,Role,32,6885,0.46
trump-announcesprezrun,Role,20,6358,0.31
trump-nc-speech,Route,2,3602,0.06
trump-announcesprezrun,Route,2,6358,0.03
trump-immigration-speech,Route,2,6885,0.03
trump-rnc,Route,1,4455,0.02
trump-inaugural,Route,0,1459,0.0
trump-victory,Route,0,1759,0.0
trump-victory,RspGain,1,1759,0.06
trump-nc-speech,RspGain,1,3602,0.03
trump-rnc,RspGain,1,4455,0.02
trump-announcesprezrun,RspGain,0,6358,0.0
trump-immigration-speech,RspGain,0,6885,0.0
trump-inaugural,RspGain,0,1459,0.0
trump-announcesprezrun,RspLoss,0,6358,0.0
trump-immigration-speech,RspLoss,0,6885,0.0
trump-inaugural,RspLoss,0,1459,0.0
trump-nc-speech,RspLoss,0,3602,0.0
trump-rnc,RspLoss,0,4455,0.0
trump-victory,RspLoss,0,1759,0.0
trump-inaugural,RspOth,12,1459,0.82
trump-victory,RspOth,4,1759,0.23
trump-nc-speech,RspOth,7,3602,0.19
trump-rnc,RspOth,8,4455,0.18
trump-immigration-speech,RspOth,5,6885,0.07
trump-announcesprezrun,RspOth,3,6358,0.05
trump-inaugural,RspTot,12,1459,0.82
trump-victory,RspTot,5,1759,0.28
trump-nc-speech,RspTot,8,3602,0.22
trump-rnc,RspTot,9,4455,0.2
trump-immigration-speech,RspTot,5,6885,0.07
trump-announcesprezrun,RspTot,3,6358,0.05
trump-inaugural,SV,5,1459,0.34
trump-victory,SV,4,1759,0.23
trump-nc-speech,SV,6,3602,0.17
trump-immigration-speech,SV,10,6885,0.15
trump-announcesprezrun,SV,8,6358,0.13
trump-rnc,SV,4,4455,0.09
trump-announcesprezrun,Say,0,6358,0.0
trump-immigration-speech,Say,0,6885,0.0
trump-inaugural,Say,0,1459,0.0
trump-nc-speech,Say,0,3602,0.0
trump-rnc,Say,0,4455,0.0
trump-victory,Say,0,1759,0.0
trump-victory,Self,3,1759,0.17
trump-inaugural,Self,2,1459,0.14
trump-nc-speech,Self,4,3602,0.11
trump-rnc,Self,4,4455,0.09
trump-announcesprezrun,Self,4,6358,0.06
trump-immigration-speech,Self,4,6885,0.06
trump-inaugural,SklAsth,1,1459,0.07
trump-victory,SklAsth,1,1759,0.06
trump-nc-speech,SklAsth,1,3602,0.03
trump-rnc,SklAsth,1,4455,0.02
trump-immigration-speech,SklAsth,1,6885,0.01
trump-announcesprezrun,SklAsth,0,6358,0.0
trump-victory,SklOth,3,1759,0.17
trump-immigration-speech,SklOth,10,6885,0.15
trump-inaugural,SklOth,2,1459,0.14
trump-nc-speech,SklOth,5,3602,0.14
trump-rnc,SklOth,4,4455,0.09
